,id_solicitante,nombre,apellido,familia_numerosa,edad_hijo,trabaja_hijo
0,1,Antonio,Sannicolas,True,21,False
1,2,Jose,Olloquiegui,False,,
2,3,Manuel,Vinent,False,,
3,4,Francisco,Francesch,False,,
4,5,Juan,Calcines,True,15,
5,6,David,Godayol,True,25,True
6,7,Jose Antonio,Argarate,False,,
7,8,Jose Luis,Toboso,False,,
8,9,Javier,Odriozola,False,,
9,10,Jesus,Turcan,False,,
10,11,Francisco Javier,Hernandiz,True,21,False
11,12,Carlos,Genova,True,25,True
12,13,Daniel,Del Carmen,False,,
13,14,Miguel,De Benito,False,,
14,15,Rafael,Segrelles,True,23,True
15,16,Jose Manuel,Besora,False,,
16,17,Pedro,Blum,True,15,
17,18,Alejandro,Seijido,True,16,
18,19,Angel,Recolons,False,,
19,20,Miguel Angel,Polvillo,False,,
20,21,Jose Maria,Barlow,False,,
21,22,Fernando,Such,False,,
22,23,Luis,Tepes,True,18,
23,24,Pablo,Santaularia,False,,
24,25,Sergio,Aristondo,True,23,True
25,26,Jorge,Cayon,False,,
26,27,Alberto,Pachon,False,,
27,28,Juan Carlos,Benaissa,False,,
28,29,Juan Jose,Viamonte,True,16,
29,30,Ramon,Guirola,True,23,True
30,31,Enrique,Cagigal,True,15,
31,32,Diego,Yao,True,17,
32,33,Juan Antonio,Guill,False,,
33,34,Vicente,Lahyani,True,22,True
34,35,Alvaro,Resino,False,,
35,36,Raul,Cerecedo,True,19,
36,37,Adrian,Mingueza,True,22,False
37,38,Joaquin,Pedrozo,False,,
38,39,Ivan,Fafian,True,24,True
39,40,Andres,Rives,False,,
40,41,Oscar,Gherasim,False,,
41,42,Ruben,Yaben,False,,
42,43,Juan Manuel,Urrutia,False,,
43,44,Santiago,Brell,False,,
44,45,Eduardo,Mangut,True,21,True
45,46,Victor,Bolet,True,21,True
46,47,Roberto,Escaso,True,24,True
47,48,Jaime,Villarrubia,False,,
48,49,Francisco Jose,Vi√Ëolas,True,22,True
49,50,Ignacio,Claraco,False,,
50,51,Alfonso,Asarta,False,,
51,52,Salvador,Montala,True,17,
52,53,Ricardo,Roales,False,,
53,54,Mario,Muniz,True,25,True
54,55,Jordi,Tort,True,16,
55,56,Emilio,Chaverra,True,20,
56,57,Marcos,Pulgarin,False,,
57,58,Julian,Jorge,False,,
58,59,Julio,Nepomuceno,False,,
59,60,Tomas,De La Cuadra,True,15,
60,61,Agustin,Onisor,False,,
61,62,Guillermo,Abreu,False,,
62,63,Gabriel,Brosed,False,,
63,64,Jose Miguel,Frontelo,True,24,True
64,65,Felix,Laguens,True,18,
65,66,Jose Ramon,Boujakhrout,True,18,
66,67,Mohamed,Mita,True,15,
67,68,Gonzalo,Saura,False,,
68,69,Joan,Sintas,True,22,False
69,70,Marc,De Blas,True,17,
70,71,Mariano,Cuzco,False,,
71,72,Ismael,Berki,False,,
72,73,Domingo,Nevot,True,25,False
73,74,Josep,Jarquin,True,25,False
74,75,Cristian,Basantes,False,,
75,76,Juan Francisco,Sardon,True,24,False
76,77,Alfredo,Riancho,True,25,False
77,78,Nicolas,Samadi,True,23,False
78,79,Sebastian,Marzok,False,,
79,80,Jose Carlos,Tabara,False,,
80,81,Felipe,Anchuela,False,,
81,82,Samuel,Villacres,True,22,True
82,83,Hugo,Cardalda,False,,
83,84,Martin,Fortanet,True,25,False
84,85,Cesar,Tavera,True,24,True
85,86,Aitor,De San Nicolas,True,23,False
86,87,Jose Angel,Outerelo,False,,
87,88,Jose Ignacio,Ondiviela,True,19,
88,89,Gregorio,Llinas,True,25,False
89,90,Victor Manuel,Genchev,False,,
90,91,Hector,Jonsson,False,,
91,92,Luis Miguel,Marroun,False,,
92,93,Jose Francisco,Insfran,False,,
93,94,Juan Luis,Alfaraz,True,18,
94,95,Lorenzo,Seivane,False,,
95,96,Albert,Brenes,True,21,False
96,97,Cristobal,Covela,False,,
97,98,Esteban,Marrades,False,,
98,99,Xavier,Cura,True,15,
99,100,Eugenio,Ric,True,24,False
100,101,Iker,Pirvu,True,23,False
101,102,Rodrigo,Tabasco,False,,
102,103,Antonio Jose,Canivell,False,,
103,104,Alex,Wills,False,,
104,105,Arturo,Hofer,True,25,True
105,106,Borja,Vercher,False,,
106,107,Valentin,Apetrei,False,,
107,108,Jose Javier,Lawson,False,,
108,109,Jesus Maria,Erostarbe,False,,
109,110,Juan Miguel,Macazaga,False,,
110,111,Jaume,Mogort,True,17,
111,112,Antonio Jesus,Cencillo,False,,
112,113,German,Rabelo,False,,
113,114,Lucas,Ujaque,False,,
114,115,Francisco Manuel,Vi√Ëaras,True,16,
115,116,Jonathan,Larburu,False,,
116,117,Pedro Jose,Llaudet,False,,
117,118,Jose Vicente,Baldoma,False,,
118,119,Adolfo,Anjum,True,25,False
119,120,Isaac,Curquejo,True,18,
120,121,Pau,Polvillo,False,,
121,122,Benito,Nortes,True,16,
122,123,Mohammed,Leyes,False,,
123,124,Moises,Bajona,True,17,
124,125,Isidro,Coarasa,False,,
125,126,Juan Ramon,Altet,False,,
126,127,Abel,Leyton,True,24,False
127,128,Juan Pedro,Sosa,False,,
128,129,Ahmed,Pomata,True,19,
129,130,Bernardo,Estangui,False,,
130,131,Ernesto,Trastoy,True,16,
131,132,Christian,Genicio,False,,
132,133,Gerardo,Agostinho,True,16,
133,134,Aaron,Matias,False,,
134,135,Manuel Jesus,Casaseca,False,,
135,136,Sergi,Puchau,True,24,True
136,137,Mikel,Barquero,True,24,False
137,138,Carmelo,Matanzas,False,,
138,139,Pascual,Sempere,False,,
139,140,I√Ëigo,Panella,False,,
140,141,Federico,Mu√Ëoz De Leon,False,,
141,142,Asier,Urgelles,True,23,True
142,143,Antonio Manuel,Feced,True,22,True
143,144,Miquel,Troyano,False,,
144,145,Joel,Suntaxi,True,18,
145,146,Marcelino,Sandonis,True,21,False
146,147,Francesc,Terrones,False,,
147,148,Bartolome,Gramunt,False,,
148,149,Israel,Cabrer,False,,
149,150,Eric,Bahi,False,,
150,151,Mateo,Migens,True,15,
151,152,Jon,Gomez Pastrana,False,,
152,153,Eloy,Moposita,True,22,False
153,154,Jesus Manuel,Martin Gil,False,,
154,155,Jose Alberto,Rabasa,False,,
155,156,Fermin,Galstyan,False,,
156,157,Luis Alberto,Achour,True,20,
157,158,Gerard,Moratilla,True,22,True
158,159,Aurelio,Boldor,True,19,
159,160,Juan Jesus,Rana,True,18,
160,161,Omar,Compa√Ëo,False,,
161,162,Unai,Basulto,False,,
162,163,Jonatan,Cassi,True,19,
163,164,Benjamin,Bordeianu,True,21,False
164,165,Oriol,De Maya,True,18,
165,166,Pere,Mazarico,True,16,
166,167,Lluis,Cameron,True,22,False
167,168,Josep Maria,Betes,False,,
168,169,Eusebio,Segurola,True,20,
169,170,I√Ëaki,Rowe,True,15,
170,171,Antoni,Driouech,False,,
171,172,Jacinto,Muela,True,21,True
172,173,Pol,Piedra,True,25,True
173,174,Pedro Antonio,Illanes,False,,
174,175,Dario,Mballow,True,24,False
175,176,Victoriano,El Hajjami,True,20,
176,177,Carles,Sarret,True,23,True
177,178,Elias,Aguirrezabal,True,18,
178,179,Carlos Alberto,Bastidas,True,24,False
179,180,Arnau,Yuliyanova,True,20,
180,181,Jose Enrique,Ponce De Leon,False,,
181,182,Marco Antonio,Prua√Ëo,False,,
182,183,Jeronimo,Aguilella,True,15,
183,184,Angel Luis,Ayad,False,,
184,185,Juan Pablo,Kharbach,True,19,
185,186,Matias,Areces,True,23,True
186,187,Roger,Cancelas,False,,
187,188,Juan Ignacio,De La Prida,False,,
188,189,Kevin,Sanchez De La Nieta,True,17,
189,190,Isidoro,Virlan,True,23,False
190,191,Teodoro,Irazola,False,,
191,192,Dionisio,Meliz,True,15,
192,193,Adria,Marabe,True,24,False
193,194,Bruno,Saracibar,False,,
194,195,Candido,Gilperez,False,,
195,196,Florencio,Mhamdi,True,17,
196,197,Francisco Jesus,Arrastia,False,,
197,198,Blas,Benseny,True,20,
198,199,Justo,Gabin,True,17,
199,200,Roman,Belzunce,False,,
200,201,Gustavo,Medel,True,25,True
201,202,Jose Juan,Babar,False,,
202,203,Santos,Vian,False,,
203,204,Juan Bautista,Zeballos,False,,
204,205,Manuel Angel,Cepedano,True,18,
205,206,Luis Fernando,Dobarro,False,,
206,207,Armando,Pricope,False,,
207,208,Said,Bonete,False,,
208,209,Alexander,Lamrabet,True,17,
209,210,Damian,Jarava,False,,
210,211,Gines,Aguilocho,False,,
211,212,Alonso,El Bali,True,21,True
212,213,Luis Manuel,Matito,False,,
213,214,Emiliano,Megia,True,23,False
214,215,Izan,Sobrido,True,24,False
215,216,Guillem,Usina,False,,
216,217,Carlos Javier,Burgada,True,24,False
217,218,Enric,Lucas,False,,
218,219,Faustino,Talens,True,21,True
219,220,Pedro Luis,Caler,False,,
220,221,Serafin,Estrada,False,,
221,222,Ion,Arnaez,False,,
222,223,Xabier,Vitaller,False,,
223,224,Gorka,Amara,False,,
224,225,Ander,Genchev,True,17,
225,226,Ferran,Curiel,True,19,
226,227,Rachid,Drew,False,,
227,228,Juan Maria,Angles,True,18,
228,229,Gheorghe,Cara√Ëana,True,18,
229,230,Marco,Huecas,True,19,
230,231,Jose Joaquin,Holguin,True,23,False
231,232,Vasile,Ugeda,False,,
232,233,Ioan,Turcu,False,,
233,234,Leonardo,Ortells,False,,
234,235,Abraham,Argudin,False,,
235,236,Fidel,Due√Ëas,True,19,
236,237,Jose David,Costes,True,23,False
237,238,Eduard,Gabilondo,True,19,
238,239,Maximo,Corniel,False,,
239,240,Ramiro,Viciano,False,,
240,241,Saul,Stirbu,False,,
241,242,Amador,Zumba,True,18,
242,243,Rogelio,Grange,False,,
243,244,Marti,Benaiges,False,,
244,245,Claudio,Pettersen,False,,
245,246,Luciano,Nole,True,16,
246,247,Julio Cesar,Rebolo,False,,
247,248,Luis Maria,Galito,False,,
248,249,Luis Antonio,Neale,False,,
249,250,Jose Andres,Tinaquero,True,24,True
250,251,Francisco Antonio,Termens,True,15,
251,252,Florentino,Del Tio,False,,
252,253,Jesus Angel,Andivia,True,20,
253,254,Emilio Jose,De Espa√Ëa,True,25,False
254,255,Modesto,Mateas,False,,
255,256,Youssef,Mazuecos,True,18,
256,257,Mustapha,Rich,True,25,False
257,258,Luis Angel,Carriel,False,,
258,259,Simon,Barroeta,False,,
259,260,Manuel Antonio,Maguire,False,,
260,261,Joaquim,Gimbert,True,24,False
261,262,Paulino,Goya,False,,
262,263,Ildefonso,Almena,False,,
263,264,Ali,Sanchez Ferragut,True,23,False
264,265,Avelino,Bargues,False,,
265,266,Edgar,Lupascu,True,21,True
266,267,Aleix,Savage,True,18,
267,268,Saturnino,Omar,True,18,
268,269,Celestino,Maruntelu,False,,
269,270,Constantino,Amestoy,False,,
270,271,Yeray,Vite,False,,
271,272,Eladio,Driouch,False,,
272,273,Pedro Manuel,Chilla,True,22,True
273,274,Alexandre,Curquejo,True,23,True
274,275,Adam,Matthews,True,15,
275,276,Juan Dios,Sanchez Prieto,True,24,True
276,277,Jairo,Riscart,False,,
277,278,Francisco Miguel,Bornay,True,24,True
278,279,Jose Fernando,Gharbi,False,,
279,280,Igor,Caza,False,,
280,281,Julen,Alquezar,False,,
281,282,Rufino,Ito,True,19,
282,283,Constantin,Meruelo,True,22,False
283,284,Leandro,Lapido,True,15,
284,285,Juan Vicente,Monasor,True,23,True
285,286,Ezequiel,Encinoso,False,,
286,287,Jacobo,Baleiron,False,,
287,288,Eneko,Salaverri,True,25,True
288,289,Manuel Jose,Leyton,False,,
